"timeStamp","sixtyKTemp","threeKTemp","baseTemp"
1450084430,47.95,2.9829,2.97
1450084425,47.95,2.9885,2.99
1450084420,47.949,2.9821,2.96
1450084414,47.948,2.9901,2.94
1450084409,47.946,2.9818,2.95
1450084404,47.946,2.9909,2.97
1450084399,47.945,2.9836,2.99
1450084393,47.944,2.9909,2.99
1450084388,47.944,2.9861,2.99
1450084383,47.944,2.9905,2.96
1450084377,47.944,2.9877,2.98
1450084372,47.944,2.9891,2.98
1450084367,47.945,2.9895,3.02
1450084362,47.944,2.9877,2.98
1450084356,47.945,2.9909,2.99
1450084351,47.947,2.9858,2.99
1450084346,47.947,2.9922,2.97
1450084341,47.948,2.9835,3.01
1450084335,47.948,2.9918,3
1450084330,47.949,2.983,2.96
1450084325,47.949,2.9903,2.97
1450084320,47.95,2.9847,2.97
1450084314,47.95,2.9868,2.98
1450084309,47.95,2.9875,3
1450084304,47.951,2.9826,2.97
1450084298,47.95,2.9865,2.98
1450084293,47.949,2.9826,2.99
1450084288,47.948,2.9877,2.96
1450084283,47.947,2.981,2.96
1450084277,47.946,2.9893,2.99
1450084272,47.945,2.9807,3.01
1450084267,47.944,2.9891,2.99
1450084262,47.944,2.9818,3.01
1450084256,47.943,2.9887,2.95
1450084251,47.943,2.9841,2.99
1450084246,47.942,2.988,2.97
1450084240,47.941,2.9854,3
1450084235,47.941,2.9868,2.97
1450084230,47.941,2.9873,3.03
1450084225,47.94,2.9851,3
1450084219,47.94,2.989,2.97
1450084214,47.94,2.9837,2.99
1450084209,47.939,2.9903,3
1450084204,47.939,2.9816,3.01
1450084198,47.938,2.9908,2.98
1450084193,47.938,2.9824,3
1450084188,47.937,2.9906,2.98
1450084183,47.938,2.9858,3
1450084177,47.938,2.9879,3
1450084172,47.938,2.9872,2.98
1450084167,47.939,2.9858,3.02
1450084161,47.94,2.9882,2.98
1450084156,47.94,2.9836,2.99
1450084151,47.94,2.9894,3
1450084146,47.94,2.9808,2.96
1450084140,47.94,2.9896,3
1450084135,47.94,2.9805,3.01
1450084130,47.94,2.9885,2.99
1450084125,47.94,2.9805,2.98
1450084119,47.939,2.9872,2.99
1450084114,47.939,2.9821,3
1450084109,47.938,2.9841,3
1450084103,47.939,2.9857,3.03
1450084098,47.939,2.9824,3.01
1450084093,47.94,2.9887,3.01
1450084088,47.941,2.9809,3.01
1450084082,47.941,2.9875,3.01
1450084077,47.941,2.9785,2.97
1450084072,47.94,2.987,2.98
1450084067,47.941,2.979,3.01
1450084061,47.942,2.9863,3.01
1450084056,47.942,2.9802,2.99
1450084051,47.943,2.9844,3.01
1450084045,47.944,2.9811,2.99
1450084040,47.944,2.9825,2.97
1450084035,47.944,2.9825,2.99
1450084030,47.945,2.9807,2.99
1450084024,47.945,2.9854,3.02
1450084019,47.946,2.9776,3.03
1450084014,47.946,2.9857,2.98
1450084009,47.946,2.9764,3
1450084003,47.946,2.9838,2.98
1450083998,47.946,2.9768,2.98
1450083993,47.946,2.9826,2.97
1450083988,47.945,2.9786,2.96
1450083982,47.945,2.9817,3
1450083977,47.943,2.9805,2.99
1450083972,47.942,2.9788,2.98
1450083966,47.941,2.9841,2.98
1450083961,47.941,2.9778,3.02
1450083956,47.939,2.985,2.99
1450083951,47.939,2.9772,3.03
1450083945,47.938,2.9861,2.97
1450083940,47.937,2.9776,2.99
1450083935,47.937,2.9863,2.99
1450083930,47.937,2.978,2.98
1450083924,47.936,2.9856,2.99
1450083919,47.936,2.979,2.99
1450083914,47.937,2.9827,2.99
1450083909,47.938,2.9826,2.99
1450083903,47.938,2.9811,3.01
1450083898,47.939,2.9838,2.98
1450083893,47.94,2.9794,2.98
1450083887,47.941,2.9853,3.03
1450083882,47.941,2.9758,2.99
1450083877,47.942,2.9843,3.02
1450083872,47.943,2.9748,2.99
1450083866,47.944,2.9828,3.01
1450083861,47.944,2.9747,3.01
1450083856,47.945,2.981,3
1450083851,47.944,2.9772,2.98
1450083845,47.944,2.9771,3
1450083840,47.944,2.9781,2.99
1450083835,47.943,2.9756,3.02
1450083829,47.943,2.9799,2.99
1450083824,47.942,2.9742,3.01
1450083819,47.942,2.9814,2.99
1450083814,47.943,2.9725,2.98
1450083808,47.943,2.9808,2.98
1450083803,47.944,2.9728,2.99
1450083798,47.944,2.9806,3
1450083793,47.945,2.9742,3
1450083787,47.945,2.9795,3
1450083782,47.945,2.9774,3.01
1450083777,47.946,2.9763,2.95
1450083772,47.946,2.979,2.97
1450083766,47.946,2.975,3.01
1450083761,47.947,2.9803,3.02
1450083756,47.948,2.9732,2.98
1450083750,47.948,2.9804,3
1450083745,47.949,2.9714,2.99
1450083740,47.948,2.9789,3
1450083735,47.948,2.97,3
